"conjunto morenada - candombe en el uruguay - 01 - llamada", "LIK" "conjunto morenada - candombe en el uruguay - 07 - tamboriles_E.jpg" "x" "x" "x" "llamada" "candombe en el uruguay" "conjunto morenada" "1978" "Uruguay";
"conjunto morenada - candombe en el uruguay - 07 - tamboriles", "LIK" "conjunto morenada - candombe en el uruguay - 07 - tamboriles_E.jpg" "x" "x" "x" "tamboriles" "candombe en el uruguay" "conjunto morenada" "1978" "Uruguay";
"07 Soy Carnaval", "LIK" "x" "x" "x" "x" "Soy Carnaval" "Carnavalitos" "Edmundo P. Zaldivar" "19xx" "Argentina";
"02 - Lo Primero Conjunto Miramar - Reina de cumbias", "LIK" "x" "x" "x" "x" "Reina de cumbias" "Carruseles" "Lo Primero Conjunto Miramar" "1970" "Colombia";
"07 - Lo Primero Conjunto Miramar - Chela", "LIK" "07 - Lo Primero Conjunto Miramar - Chela_E.jpg" "x" "x" "x" "Chela" "Carruseles" "Lo Primero Conjunto Miramar" "1970" "Colombia";
"chants et danses d'amerique latine - 08 - paco sanchez - la monica perez", "LIK" "x" "x" "x" "x" "la monica perez" "chants et danses d'amerique latine" "paco sanchez" "1963" "Venezuela";
"0003-07-silent-night-holy-night", "LIK" "x" "x" "x" "x" "Silent Night, Holy Night" "Christmas is a-coming..." "Andrew Rowan Summers" "1956" "Estados Unidos";
"02 Puerto Rico y Su Combo - La Cumbia Del Pescador", "LIK" "x" "x" "x" "x" "Puerto Rico y Su Combo - La Cumbia Del Pescador" "Curro Fuentes & The Big Band: Cumbia and Descarga Sound Of Colombia (1962-72)" "Curro Fuentes" "19xx" "Colombia";
"diableries peruviennes - 08 - ea huinihuinash", "LIK" "x" "x" "x" "x" "ea huinihuinash" "diableries peruviennes" "varios" "1977" "Peru";
"benitez valencia trio - ecuador - 09 - longuita mia", "LIK" "x" "x" "x" "x" "longuita mia" "ecuador" "benitez valencia trio" "1958" "Ecuador";
"èquateur - 05 - air de ducena", "LIK" "x" "x" "x" "x" "air de ducena" "èquateur" "varios" "1975" "Ecuador";
"fetes indiennes - 01 - carnaval de tinta", "LIK" "x" "x" "x" "x" "carnaval de tinta" "fetes indiennes" "varios en Cuzco" "19xx" "Peru";
"fiestas of peru - 03 - puru purucha", "LIK" "fiestas of peru - 04 - lamento andino yaravi_E.jpg" "x" "x" "x" "puru purucha" "fiestas of peru" "Habitantes de Paucartambo" "1968" "Peru";
"fiestas of peru - 04 - lamento andino yaravi", "LIK" "fiestas of peru - 04 - lamento andino yaravi_E.jpg" "x" "x" "x" "lamento andino: yaravi" "fiestas of peru" "harp solo" "1968" "Peru";
"flute indienne - 07 - diablada", "LIK" "flute indienne - 07 - diablada_E.jpg" "x" "x" "x" "diablada" "flute indienne" "varios" "19xx" "Bolivia";
"Dionisio Ayala-Guaranias Eternas II-04-ANAHI", "LIK" "x" "x" "x" "x" "Anahi" "Guaranías Eternas" "Dionisio Ayala" "1968" "Paraguay";
"CNRSMH_E_1959_008_001_001_02", "LIK" "x" "x" "x" "x" "Choeur, accompagnement de flûte et tambour 001_02" "Guyane - chants, danses - appel du gibier" "Kalina ou kali'na" "1953" "Guayana Francesa";
"roberto guarani - harpe paraguayenne - 03 - cascada", "LIK" "x" "x" "x" "x" "cascada" "harpe paraguayenne" "roberto guarani" "1970" "Paraguay";
"roberto guarani - harpe paraguayenne - 12 - moliendo cafe", "LIK" "x" "x" "x" "x" "moliendo cafe" "harpe paraguayenne" "roberto guarani" "1970" "Paraguay";
"CNRSMH_I_2000_004_012_08", "LIK" "x" "x" "x" "x" "Langage tambouriné (formule 8)" "Hurault, J. ; Guyane : Boni, Wayana, Wayapi ; 1957-65" "Boni (Aluku)" "1957" "Guayana Francesa";
"indios del sol - 01 - bolivia - carnaval d'oruro", "LIK" "indios del sol - 03 - bolivia - corne d'appel des bergers_E.jpg" "x" "x" "x" "carnaval d'oruro" "indios del sol" "bolivia" "1970" "Bolivia";
"indios del sol - 03 - bolivia - corne d'appel des bergers", "LIK" "indios del sol - 03 - bolivia - corne d'appel des bergers_E.jpg" "x" "x" "x" "corne d'appel des bergers" "indios del sol" "bolivia" "1970" "Bolivia";
"indios del sol - 09 - peru - inti-raymi", "LIK" "indios del sol - 03 - bolivia - corne d'appel des bergers_E.jpg" "x" "x" "x" "inti-raymi" "indios del sol" "peru" "1970" "Peru";
"sergio cuevas - la harpe indienne - 02 - som coiman", "LIK" "sergio cuevas - la harpe indienne - 02 - som coiman.jpg" "x" "x" "x" "som coiman" "la harpe indienne" "sergio cuevas" "1969" "Paraguay";
"sergio cuevas - la harpe indienne - 03 - misionera", "LIK" "sergio cuevas - la harpe indienne - 02 - som coiman.jpg" "x" "x" "x" "misionera" "la harpe indienne" "sergio cuevas" "1969" "Paraguay";
"sergio cuevas - la harpe indienne - 07 - cascada", "LIK" "sergio cuevas - la harpe indienne - 02 - som coiman.jpg" "x" "x" "x" "cascada" "la harpe indienne" "sergio cuevas" "1969" "Paraguay";
"MAMÁ CHE MOSÉ (DANZA PARAGUAYA)", "LIK" "x" "x" "x" "x" "Mamá Ché Mosé" "Mamá Ché Mosé"   "Paraguay";
"7-17 Relembrando", "LIK" "x" "x" "x" "x" "Relembrando" "Memórias Musicais Vol. 07: Luís Americano e Ratinho" "Luís Americano" "2002" "Brasil";
"14-10 Urubatan", "LIK" "x" "x" "x" "x" "Urubatan" "Memórias Musicais Vol. 14: Pixinguinha Vol. 3" "Orquestra Victor Brasileira" "2002" "Brasil";
"mountain music of peru - 03 - folk and popular music - catholic mass song", "LIK" "x" "x" "x" "x" "catholic mass song" "mountain music of peru" "folk and popular music" "1966" "Peru";
"mountain music of peru - 11 - quechua - pina pinculu 1 flute", "LIK" "mountain music of peru - 11 - quechua - pina pinculu 1 flute_E.jpg" "x" "x" "x" "pina pinculu 1 flute" "mountain music of peru" "quechua" "1966" "Peru";
"mountain music of peru - 37 - quechua - colla marriage song", "LIK" "x" "x" "x" "x" "colla marriage song" "mountain music of peru" "quechua" "1966" "Peru";
"mountain music of peru - 42 - santiago - long wooden tube", "LIK" "x" "x" "x" "x" "long wooden tube" "mountain music of peru" "santiago" "1966" "Peru";
"mountain music of peru - 56 - aymara - lullaby", "LIK" "x" "x" "x" "x" "lullaby" "mountain music of peru" "aymara" "1966" "Peru";
"music from the land of macchu picchu - 14 - en el hospital de amores", "LIK" "music from the land of macchu picchu - 14 - en el hospital de amores_E.jpg" "x" "x" "x" "en el hospital de amores" "music from the land of macchu picchu" "Juan Zarate Solier / Ayacucho" "1975" "Peru";
"1-earlyMorningBirds+deer-bone_flute-2'55", "LIK" "1-earlyMorningBirds+deer-bone_flute-2'55_E.jpg" "OBJETO: Flauta
MATERIALES: Hueso de danta con cabuya envuelta.
TAMAÑO: 2.5 cm. x 13 cm.
ETNIA: Tukano
REGIÓN: Amazónica" "x" "x" "1-earlyMorningBirds+deer-bone_flute-2'55" "Music of the Tukano and Cuna Peoples of Colombia - rec 1960-1961Pogue Rec 1987" "cuna people" "1960" "Colombia";
"ensemble achalay - musique des andes - 14 - arpita", "LIK" "x" "x" "x" "x" "arpita" "musique des andes" "ensemble achalay" "19xx" "Ecuador";
"ensemble achalay - musique des andes - 02 - ofrenda al niño jesus", "LIK" "x" "x" "x" "x" "ofrenda al niño jesus" "musique des andes" "ensemble achalay" "19xx" "Peru";
"musiques de pÇrou paucartambo indiens q'eros - 11 - danse del ucucu", "LIK" "x" "x" "x" "x" "danse del ucucu" "musiques de pérou: paucartambo indiens q'eros" "Habitantes de Paucartambo" "1965" "Peru";
"09 Chant Du Jawari", "LIK" "09 Chant Du Jawari_E.jpg" "x" "x" "x" "Chant Du Jawari" "Musiques du Haut Xingu — Ocora C 580022" "Bresil" "1977" "Brasil";
"CNRSMH_I_1968_032_001_15", "LIK" "CNRSMH_I_1968_032_001_15_E.jpg" "x" "x" "x" "SUR L'ARC-EN-CIEL" "PARAGUAY - ZONE ORIENTALE, ARROYO MORITI ; GUAYAKI, GUARANI ; P. CLASTRES" "Guayaki people" "1963" "Paraguay";
"CNRSMH_I_1968_032_001_29", "LIK" "x" "x" "x" "x" "POUR FAIRE PARTIR L'ARC-EN-CIEL" "PARAGUAY - ZONE ORIENTALE, ARROYO MORITI ; GUAYAKI, GUARANI ; P. CLASTRES" "Guayaki people" "1963" "Paraguay";
"CNRSMH_I_1968_032_005_03", "LIK" "CNRSMH_I_1968_032_005_03_E.jpg" "x" "x" "x" "POUR LES PREMIERES MENSTRUATIONS" "PARAGUAY - ZONE ORIENTALE, ARROYO MORITI ; GUAYAKI, GUARANI ; P. CLASTRES" "Guayaki people" "1963" "Paraguay";
"CNRSMH_I_1968_032_005_09", "LIK" "CNRSMH_I_1968_032_005_03_E.jpg" "x" "x" "x" "REPRISE DES RECITS PRECEDENTS" "PARAGUAY - ZONE ORIENTALE, ARROYO MORITI ; GUAYAKI, GUARANI ; P. CLASTRES" "Guayaki people" "1963" "Paraguay";
"CNRSMH_I_1968_032_007_16", "LIK" "x" "x" "x" "x" "UN CAPIVARA" "PARAGUAY - ZONE ORIENTALE, ARROYO MORITI ; GUAYAKI, GUARANI ; P. CLASTRES" "Guayaki people" "1963" "Paraguay";
"CNRSMH_I_1968_032_007_28", "LIK" "x" "x" "x" "x" "CHANT DE CHASSE" "PARAGUAY - ZONE ORIENTALE, ARROYO MORITI ; GUAYAKI, GUARANI ; P. CLASTRES" "Guayaki people" "1963" "Paraguay";
"Paraguay. Guarani Nandeva & Ayoreo [Ocora] - 06 - Wyrakamyta Mi (Cardinal Bird)", "LIK" "x" "x" "x" "x" "Wyrakamyta Mi (Cardinal Bird)" "Paraguay. Guarani Nandeva & Ayoreo" "Various" "2002" "Paraguay";
"Paraguay. Guarani Nandeva & Ayoreo [Ocora] - 15 - Idem", "LIK" "x" "x" "x" "x" "Variations Inspirées De Thèmes" "Paraguay. Guarani Nandeva & Ayoreo" "Various" "2002" "Paraguay";
"PHv2 03 Malambo", "LIK" "x" "x" "x" "x" "Malambo" "Paraguayan Harp, Vol. 2" "Ed Lange and His Trio Andeno" "1977" "Paraguay";
"PHv2 06 Mi Atarraya (My Fishing Net)", "LIK" "x" "x" "x" "x" "Mi Atarraya (My Fishing Net)" "Paraguayan Harp, Vol. 2" "Ed Lange and His Trio Andeno" "1977" "Paraguay";
"bezerra & genaro da silva - partido alto nota 10 - 01 - a necessidade", "LIK" "x" "x" "x" "x" "a necessidade" "partido alto nota 10" "bezerra & genaro da silva" "1977" "Brasil";
"bezerra & genaro da silva - partido alto nota 10 - 06 - chico chora", "LIK" "x" "x" "x" "x" "chico chora" "partido alto nota 10" "bezerra & genaro da silva" "1977" "Brasil";
"bezerra da silva - partido alto nota 10 vol2 - 04 - apolo do samba", "LIK" "x" "x" "x" "x" "apolo do samba" "partido alto nota 10 vol2" "bezerra da silva" "1979" "Brasil";
"CNRSMH_E_1972_014_001_001_07", "LIK" "x" "x" "CNRSMH_E_1972_014_001_001_08_E.mp4" "Los Onas - Vida y Muerte en Tierra del Fuego - De Anne Chapman - (1977) " "Chant Chamanique (n°7)" "Selk'nam (Ona) Chants of Tierra del Fuego, Argentina" "Lola Kiepja / Selk'nam (Ona)" "1966" "Argentina";
